Id,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice_log,SalePrice
211,30,RL,67.0,5604,eNA,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1Story,5,6,1925,1950,Gable,Stucco,Stucco,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,468,Unf,0,396,864,TA,N,FuseA,864,0,864,1,0,1,0,2,1,TA,5,Typ,0,eNA,eNA,1910.0,eNA,0,0,eNA,eNA,Y,0,0,96,0,eNA,0,4,2008,WD,Normal,11.49272275765271,98000
319,60,RL,90.0,9900,eNA,Reg,Low,Inside,Mod,NoRidge,Norm,1Fam,2Story,7,5,1993,1993,Gable,HdBoard,HdBoard,BrkFace,256.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,987,Unf,0,360,1347,Ex,Y,SBrkr,1372,1274,2646,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,1993.0,RFn,3,656,TA,TA,Y,340,60,144,0,eNA,0,4,2009,WD,Normal,12.468436909997665,260000
240,50,RL,52.0,8741,eNA,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1.5Fin,6,4,1945,1950,Gable,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,Fa,No,LwQ,94,Unf,0,641,735,TA,Y,FuseA,798,689,1487,0,0,1,1,3,1,TA,7,Typ,1,Gd,Detchd,1949.0,Unf,1,220,TA,TA,Y,0,140,0,0,MnPrv,0,4,2010,WD,Normal,11.635143097694478,113000
987,50,RM,59.0,5310,eNA,Reg,Lvl,Corner,Gtl,OldTown,Feedr,1Fam,1.5Fin,6,8,1910,2003,Hip,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,Fa,No,Unf,0,Unf,0,485,485,Gd,Y,SBrkr,1001,634,1635,0,0,1,0,2,1,Gd,5,Typ,0,eNA,Attchd,1950.0,Unf,1,255,Fa,TA,Y,394,0,0,0,eNA,0,6,2006,WD,Normal,11.669929213779893,117000
1417,190,RM,60.0,11340,eNA,Reg,Lvl,Inside,Gtl,OldTown,Norm,2fmCon,2Story,4,6,1885,1950,Gable,VinylSd,AsbShng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,777,777,Gd,Y,SBrkr,1246,1044,2290,0,0,2,0,4,2,TA,11,Typ,0,eNA,Detchd,1971.0,Unf,2,560,TA,TA,N,0,0,114,0,eNA,0,4,2010,WD,Normal,11.715866308966918,122500
391,50,RL,50.0,8405,Grvl,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1.5Fin,5,8,1900,1950,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,Gd,No,Rec,241,BLQ,391,229,861,Ex,Y,SBrkr,961,406,1367,1,0,1,0,4,1,TA,7,Typ,0,eNA,Detchd,1978.0,Unf,1,384,TA,TA,Y,0,130,112,0,MnPrv,0,4,2008,WD,Normal,11.686878772093667,119000
1006,80,RL,65.0,8385,eNA,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,SLvl,5,8,1977,1977,Gable,HdBoard,HdBoard,BrkFace,220.0,Gd,TA,CBlock,Gd,Gd,Av,GLQ,595,Unf,0,390,985,TA,Y,SBrkr,985,0,985,0,0,2,0,3,1,TA,6,Typ,0,eNA,Attchd,1977.0,Unf,1,328,TA,TA,Y,210,0,0,0,eNA,0,11,2008,WD,Normal,11.917723684090689,149900
569,50,RL,79.0,12327,eNA,IR1,Low,Inside,Mod,SawyerW,Norm,1Fam,1.5Fin,8,8,1983,2009,Gable,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,CBlock,Gd,TA,Gd,GLQ,1441,Unf,0,55,1496,Ex,Y,SBrkr,1496,636,2132,1,0,1,1,1,1,Gd,5,Min2,1,Gd,BuiltIn,1983.0,Fin,2,612,Gd,TA,Y,349,40,0,0,eNA,0,9,2009,WD,Normal,12.66539442642905,316600
343,90,RL,74.0,8544,eNA,Reg,Lvl,Inside,Gtl,NAmes,Norm,Duplex,1Story,3,4,1949,1950,Gable,Stucco,Stucco,BrkFace,340.0,TA,TA,Slab,eNA,eNA,eNA,eNA,0,eNA,0,0,105,Fa,N,FuseA,1040,0,1040,0,0,2,0,2,2,TA,6,Typ,0,eNA,Detchd,1949.0,Unf,2,400,TA,TA,Y,0,0,0,0,eNA,0,5,2006,WD,Normal,11.379394072345706,87500
115,70,RL,61.0,7259,eNA,IR1,Lvl,Inside,Mod,Crawfor,Norm,1Fam,2Story,6,8,1945,2002,Gambrel,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,774,LwQ,150,104,1028,Ex,Y,SBrkr,1436,884,2320,1,0,2,1,3,1,Gd,9,Typ,1,TA,Detchd,1945.0,Unf,1,180,TA,TA,Y,224,0,0,0,MnPrv,0,7,2007,WD,Normal,12.46651198158808,259500
500,20,RL,70.0,7535,eNA,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,7,1958,1985,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,111,LwQ,279,522,912,Fa,Y,SBrkr,912,0,912,0,1,1,0,2,1,TA,5,Typ,0,eNA,Attchd,1958.0,Fin,1,297,TA,TA,Y,12,285,0,0,MnWw,480,6,2007,WD,Normal,11.699239043033721,120480
366,70,RM,59.0,10690,eNA,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,1Fam,2Story,5,7,1920,1997,Hip,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,Fa,No,Rec,456,Unf,0,216,672,Gd,Y,FuseA,672,672,1344,0,0,1,0,3,1,TA,6,Typ,0,eNA,Detchd,1964.0,Unf,1,468,TA,Fa,Y,0,128,218,0,eNA,0,7,2009,WD,Normal,11.898187865760873,147000
309,30,RL,66.0,12342,eNA,IR1,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1Story,4,5,1940,1950,Gable,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,262,Unf,0,599,861,Ex,Y,SBrkr,861,0,861,0,0,1,0,1,1,TA,4,Typ,0,eNA,Detchd,1961.0,Unf,2,539,TA,TA,Y,158,0,0,0,eNA,0,3,2009,WD,Normal,11.320553572322773,82500
798,20,RL,57.0,7677,eNA,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,5,1953,1953,Gable,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,570,Unf,0,203,773,Gd,Y,SBrkr,773,0,773,0,0,1,0,2,1,TA,4,Typ,0,eNA,Attchd,1953.0,Unf,1,240,TA,TA,Y,0,0,0,0,eNA,0,4,2008,WD,Abnorml,11.608235644774552,110000
704,190,RM,76.0,7630,eNA,Reg,Lvl,Inside,Gtl,OldTown,Feedr,2fmCon,2Story,5,9,1900,1996,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,Gd,BrkTil,Gd,TA,No,Unf,0,Unf,0,360,360,Gd,Y,SBrkr,1032,780,1812,0,0,2,0,4,2,Gd,8,Typ,1,Po,Detchd,1999.0,Unf,2,672,TA,TA,N,344,0,40,0,MnPrv,0,5,2010,WD,Normal,11.84939770159144,140000
859,20,RL,80.0,10400,eNA,Reg,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,1Story,7,5,1976,1976,Gable,HdBoard,HdBoard,BrkFace,189.0,TA,TA,CBlock,Gd,TA,No,Unf,0,Unf,0,1090,1090,TA,Y,SBrkr,1370,0,1370,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,479,TA,TA,Y,0,0,0,0,MnPrv,0,6,2009,WD,Family,11.931635799828413,152000
26,20,RL,110.0,14230,eNA,Reg,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,Ex,Y,SBrkr,1600,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,890,TA,TA,Y,0,56,0,0,eNA,0,7,2009,WD,Normal,12.454103912352162,256300
89,50,C (all),105.0,8470,eNA,IR1,Lvl,Corner,Gtl,IDOTRR,Feedr,1Fam,1.5Fin,3,2,1915,1982,Hip,Plywood,Plywood,None,0.0,Fa,Fa,CBlock,TA,Fa,No,Unf,0,Unf,0,1013,1013,TA,N,SBrkr,1013,0,1526,0,0,1,0,2,1,Fa,6,Typ,0,eNA,eNA,1910.0,eNA,0,0,eNA,eNA,N,0,0,156,0,MnPrv,0,10,2009,ConLD,Abnorml,11.350406535472453,85000
1130,90,RM,60.0,7200,Grvl,Reg,Lvl,Inside,Gtl,OldTown,Norm,Duplex,SFoyer,5,5,1980,1980,Gable,MetalSd,MetalSd,BrkFace,180.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,936,Unf,0,0,936,TA,Y,SBrkr,936,0,936,1,0,1,0,2,1,TA,4,Typ,0,eNA,Detchd,1980.0,Unf,2,672,TA,TA,Y,49,0,0,0,eNA,0,8,2007,WD,Normal,11.84939770159144,140000
1426,20,RL,80.0,10721,eNA,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,6,1959,1959,Hip,HdBoard,HdBoard,Stone,243.0,Gd,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1252,1252,Ex,Y,SBrkr,1252,0,1252,0,0,1,0,3,1,Gd,7,Typ,0,eNA,Detchd,1960.0,Unf,2,528,TA,TA,Y,0,39,0,0,eNA,0,10,2008,WD,Normal,11.863582336583399,142000
729,90,RL,85.0,11475,eNA,Reg,Lvl,Corner,Gtl,NAmes,Norm,Duplex,1Story,5,5,1958,1958,Gable,VinylSd,VinylSd,BrkFace,95.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1584,1584,TA,Y,SBrkr,1776,0,1776,1,0,2,0,4,2,TA,9,Typ,0,eNA,Detchd,1968.0,Unf,3,888,TA,TA,Y,0,25,0,0,eNA,0,7,2009,COD,Abnorml,11.608235644774552,110000
884,75,RL,60.0,6204,eNA,Reg,Bnk,Inside,Gtl,SWISU,Norm,1Fam,2.5Fin,4,5,1912,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,PConc,TA,Fa,No,Unf,0,Unf,0,795,795,TA,N,SBrkr,954,795,2230,1,0,1,0,5,1,TA,10,Typ,0,eNA,Detchd,1997.0,Unf,1,440,TA,Gd,Y,0,188,0,0,eNA,0,3,2006,WD,Normal,11.682668239557323,118500
607,20,RL,82.0,12464,eNA,IR2,Low,Corner,Mod,CollgCr,Norm,1Fam,1Story,5,5,1996,1996,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,TA,No,GLQ,732,Unf,0,308,1040,Gd,Y,SBrkr,1040,0,1040,1,0,1,0,3,1,Gd,6,Typ,0,eNA,Detchd,2000.0,Unf,2,576,TA,TA,Y,168,0,0,0,GdPrv,0,11,2009,WD,Normal,11.931635799828413,152000
1184,30,RL,60.0,10800,Grvl,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,1Story,5,6,1920,1950,Hip,Stucco,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,Rec,821,Unf,0,299,1120,Ex,Y,SBrkr,1130,0,1130,1,0,1,0,2,1,TA,5,Typ,1,Gd,Detchd,1970.0,Unf,2,720,TA,TA,Y,229,0,0,0,eNA,0,6,2006,WD,Normal,11.695247021764184,120000
809,80,RL,85.0,13400,eNA,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,SLvl,5,5,1966,1966,Gable,VinylSd,VinylSd,BrkFace,700.0,TA,TA,CBlock,TA,TA,Av,ALQ,516,BLQ,128,380,1024,TA,Y,SBrkr,1086,0,1086,1,0,1,0,3,1,TA,6,Typ,1,Gd,Attchd,1966.0,RFn,2,484,TA,TA,Y,0,0,0,0,GdWo,0,6,2006,WD,Normal,11.982616545377663,159950
453,60,RL,85.0,9303,eNA,IR1,Lvl,Corner,Gtl,Timber,Norm,1Fam,2Story,6,5,1996,1997,Hip,VinylSd,VinylSd,BrkFace,42.0,Gd,TA,PConc,Ex,TA,No,ALQ,742,Unf,0,130,872,Ex,Y,SBrkr,888,868,1756,1,0,2,1,3,1,TA,7,Typ,0,eNA,Attchd,1996.0,Fin,2,422,TA,TA,Y,144,122,0,0,eNA,0,7,2007,WD,Normal,12.225875272826354,204000
1396,60,RL,88.0,12665,eNA,IR1,Lvl,Inside,Gtl,Timber,Norm,1Fam,2Story,8,5,2005,2006,Hip,VinylSd,VinylSd,BrkFace,245.0,Gd,TA,PConc,Gd,Gd,Gd,Unf,0,Unf,0,1094,1094,Ex,Y,SBrkr,1133,1349,2482,0,0,2,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005.0,Fin,3,642,TA,TA,Y,144,39,0,0,eNA,0,2,2007,WD,Normal,12.54686766829102,281213
1079,120,RM,37.0,4435,eNA,Reg,Lvl,Inside,Gtl,CollgCr,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,VinylSd,VinylSd,BrkFace,169.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,662,Unf,0,186,848,Ex,Y,SBrkr,848,0,848,1,0,1,0,1,1,Gd,3,Typ,1,Gd,Attchd,2004.0,RFn,2,420,TA,TA,Y,140,0,0,0,eNA,0,5,2006,WD,Normal,11.956970055045868,155900
147,30,RM,51.0,6120,eNA,Reg,Lvl,Corner,Gtl,BrkSide,Norm,1Fam,1Story,5,7,1931,1993,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,209,Unf,0,506,715,TA,Y,FuseA,875,0,875,1,0,1,0,2,1,TA,5,Typ,0,eNA,Detchd,1931.0,Unf,1,180,Fa,TA,Y,48,0,0,0,eNA,0,11,2009,WD,Normal,11.56171562913966,105000
907,20,RL,110.0,13501,eNA,IR1,Lvl,Corner,Gtl,Somerst,Norm,1Fam,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,Stone,208.0,Gd,TA,PConc,Gd,TA,No,GLQ,63,Unf,0,1560,1623,Ex,Y,SBrkr,1636,0,1636,1,0,2,0,3,1,Gd,8,Typ,1,Gd,Attchd,2006.0,RFn,3,865,TA,TA,Y,0,60,0,0,eNA,0,6,2007,WD,Normal,12.449018824140563,255000
615,180,RM,30.0,1491,eNA,Reg,Lvl,Inside,Gtl,MeadowV,Norm,TwnhsE,SFoyer,4,6,1972,1972,Gable,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,150,GLQ,480,0,630,Ex,Y,SBrkr,630,0,630,1,0,1,0,1,1,TA,3,Typ,0,eNA,eNA,1910.0,eNA,0,0,eNA,eNA,Y,96,24,0,0,eNA,0,5,2010,WD,Normal,11.231887935237117,75500
406,20,RL,71.5,9991,eNA,IR1,Lvl,Corner,Gtl,Sawyer,Feedr,1Fam,1Story,4,4,1976,1993,Gable,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,1116,Unf,0,165,1281,Ex,Y,SBrkr,1620,0,1620,1,0,2,0,3,1,TA,8,Min1,1,TA,Attchd,1993.0,Unf,2,490,TA,TA,Y,120,78,0,0,GdWo,0,6,2009,WD,Normal,11.918390573078392,150000
46,120,RL,61.0,7658,eNA,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,1752,Ex,Y,SBrkr,1752,0,1752,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,RFn,2,576,TA,TA,Y,196,82,0,0,eNA,0,2,2010,WD,Normal,12.675763725937609,319900
1444,30,RL,51.0,8854,eNA,Reg,Lvl,Inside,Gtl,BrkSide,Norm,1Fam,1.5Unf,6,6,1916,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,Fa,N,FuseF,952,0,952,0,0,1,0,2,1,Fa,4,Typ,1,Gd,Detchd,1916.0,Unf,1,192,Fa,Po,P,0,98,0,40,eNA,0,5,2009,WD,Normal,11.703545824578878,121000
1242,20,RL,83.0,9849,eNA,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,7,6,2007,2007,Hip,VinylSd,VinylSd,Stone,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1689,1689,Ex,Y,SBrkr,1689,0,1689,0,0,2,0,3,1,Gd,7,Typ,0,eNA,Attchd,2007.0,RFn,3,936,TA,TA,Y,0,56,0,0,eNA,0,6,2007,New,Partial,12.422505731952896,248328
538,20,RL,74.0,12735,eNA,IR1,Lvl,FR2,Gtl,NAmes,Norm,1Fam,1Story,4,5,1972,1972,Hip,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,600,Unf,0,264,864,TA,Y,SBrkr,864,0,864,0,0,1,0,3,1,TA,5,Typ,0,eNA,Detchd,1980.0,Unf,2,576,TA,TA,Y,216,0,0,0,MnWw,0,4,2008,COD,Normal,11.619535200028487,111250
455,90,RL,63.0,9297,eNA,Reg,Lvl,Inside,Gtl,Mitchel,Norm,Duplex,1Story,5,5,1976,1976,Gable,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,1606,Unf,0,122,1728,TA,Y,SBrkr,1728,0,1728,2,0,2,0,4,2,TA,8,Typ,0,eNA,Detchd,1976.0,Unf,2,560,TA,TA,Y,0,0,0,0,eNA,0,7,2006,WD,Family,12.144197241812087,188000
161,20,RL,68.0,11120,eNA,IR1,Lvl,CulDSac,Gtl,Veenker,Norm,1Fam,1Story,6,6,1984,1984,Gable,Plywood,Plywood,None,0.0,TA,TA,PConc,Gd,TA,No,BLQ,660,Unf,0,572,1232,TA,Y,SBrkr,1232,0,1232,0,0,2,0,3,1,TA,6,Typ,0,eNA,Attchd,1984.0,Unf,2,516,TA,TA,Y,0,0,0,0,eNA,0,6,2008,WD,Normal,11.998433280751929,162500
1434,60,RL,93.0,10261,eNA,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,2Story,6,5,2000,2000,Gable,VinylSd,VinylSd,BrkFace,318.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,936,936,Ex,Y,SBrkr,962,830,1792,1,0,2,1,3,1,TA,8,Typ,1,TA,Attchd,2000.0,Fin,2,451,TA,TA,Y,0,0,0,0,eNA,0,5,2008,WD,Normal,12.136186518066006,186500
1038,60,RL,69.0,9240,eNA,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,8,5,2001,2002,Gable,VinylSd,VinylSd,BrkFace,396.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1055,1055,Ex,Y,SBrkr,1055,1208,2263,0,0,2,1,3,1,Gd,7,Typ,1,TA,BuiltIn,2001.0,Fin,2,905,TA,TA,Y,0,45,0,189,eNA,0,9,2008,WD,Normal,12.567237494741757,287000
107,30,RM,60.0,10800,Grvl,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,1Story,4,7,1885,1995,Mansard,VinylSd,VinylSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0,Unf,0,641,641,Gd,Y,SBrkr,1047,0,1047,0,0,1,0,2,1,TA,6,Typ,0,eNA,Detchd,1954.0,Unf,1,273,Fa,Fa,N,0,0,0,0,eNA,450,8,2007,WD,Normal,11.51741537024308,100450
1308,20,RL,60.0,8072,eNA,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,5,5,1994,1995,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,Gd,No,ALQ,746,Unf,0,244,990,Ex,Y,SBrkr,990,0,990,1,0,1,0,3,1,TA,5,Typ,0,eNA,Detchd,2000.0,Unf,2,480,TA,TA,Y,0,64,0,0,eNA,0,5,2009,WD,Normal,11.835008964139341,138000
877,20,RL,94.0,25286,eNA,Reg,HLS,Inside,Mod,Mitchel,Norm,1Fam,1Story,4,5,1963,1963,Gable,HdBoard,Plywood,None,0.0,TA,TA,PConc,TA,TA,Gd,ALQ,633,Unf,0,431,1064,Gd,Y,SBrkr,1040,0,1040,1,0,1,0,3,1,TA,5,Typ,0,eNA,Attchd,1963.0,Unf,2,648,TA,TA,Y,0,0,0,0,eNA,0,1,2007,WD,Normal,11.792449349720545,132250
772,20,RL,67.0,8877,eNA,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1Story,4,5,1951,1951,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,Fa,Fa,No,LwQ,836,Unf,0,0,836,TA,Y,FuseF,1220,0,1220,0,0,1,0,2,1,TA,6,Typ,0,eNA,Detchd,1951.0,Unf,2,396,TA,TA,Y,0,0,0,0,eNA,0,4,2006,COD,Normal,11.532728092266408,102000
891,50,RL,60.0,8064,eNA,Reg,Lvl,Corner,Gtl,NAmes,Artery,1Fam,1.5Fin,5,7,1949,2006,Gable,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,0,Unf,0,672,672,Ex,Y,SBrkr,672,252,924,0,0,1,0,3,1,TA,6,Typ,1,Po,Detchd,2003.0,Unf,2,576,TA,TA,Y,0,0,0,0,MnPrv,2000,7,2007,WD,Normal,11.73526869611367,124900
421,90,RM,78.0,7060,eNA,Reg,Lvl,Inside,Gtl,Mitchel,Norm,Duplex,SFoyer,7,5,1997,1998,Gable,VinylSd,VinylSd,BrkFace,200.0,TA,Gd,PConc,Gd,Gd,Gd,GLQ,1309,Unf,0,35,1344,Ex,Y,SBrkr,1344,0,1344,2,0,2,0,2,2,TA,8,Typ,0,eNA,Attchd,1997.0,Fin,4,784,TA,TA,Y,0,0,0,0,eNA,0,11,2008,WD,Alloca,12.237086699059343,206300
1447,20,RL,70.0,26142,eNA,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,1Fam,1Story,5,7,1962,1962,Gable,HdBoard,HdBoard,BrkFace,189.0,TA,TA,CBlock,TA,TA,No,Rec,593,Unf,0,595,1188,TA,Y,SBrkr,1188,0,1188,0,0,1,0,3,1,TA,6,Typ,0,eNA,Attchd,1962.0,Unf,1,312,TA,TA,P,261,39,0,0,eNA,0,4,2010,WD,Normal,11.969717200243734,157900
1316,60,RL,85.0,11075,eNA,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,2Story,6,5,1969,1969,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Fa,TA,Mn,ALQ,500,LwQ,276,176,952,TA,Y,SBrkr,1092,1020,2112,0,0,2,1,4,1,TA,9,Typ,2,Gd,Attchd,1969.0,Unf,2,576,TA,TA,Y,280,0,0,0,eNA,0,6,2008,WD,Normal,12.239990863733635,206900
385,60,RL,80.0,53107,eNA,IR2,Low,Corner,Mod,ClearCr,Feedr,1Fam,2Story,6,5,1992,1992,Gable,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,985,Unf,0,595,1580,Ex,Y,SBrkr,1079,874,1953,1,0,2,1,3,1,Gd,9,Typ,2,Fa,Attchd,1992.0,Fin,2,501,TA,TA,Y,216,231,0,0,eNA,0,6,2007,WD,Normal,12.388394202324129,240000
1048,20,RL,57.0,9245,eNA,IR2,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,5,5,1994,1995,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,686,Unf,0,304,990,Ex,Y,SBrkr,990,0,990,0,1,1,0,3,1,TA,5,Typ,0,eNA,Detchd,1996.0,Unf,2,672,TA,TA,Y,0,0,0,0,eNA,0,2,2008,WD,Normal,11.884489021402711,145000
1334,50,RM,60.0,7200,eNA,Reg,Lvl,Corner,Gtl,IDOTRR,Norm,1Fam,1.5Fin,5,6,1938,1995,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,803,803,Ex,Y,SBrkr,803,557,1360,0,0,1,1,2,1,Gd,6,Typ,0,eNA,Detchd,1951.0,Unf,1,297,TA,TA,Y,0,65,190,0,MnPrv,0,7,2006,WD,Normal,11.740061037553975,125500
1338,30,RM,110.0,4118,Grvl,IR1,Bnk,Corner,Mod,OldTown,Feedr,1Fam,1Story,4,4,1941,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,693,693,Fa,N,FuseA,693,0,693,0,0,1,0,2,1,Fa,4,Typ,0,eNA,eNA,1910.0,eNA,0,0,eNA,eNA,N,0,20,0,0,eNA,0,3,2006,WD,Normal,10.868568448579715,52500
