Id,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,GarageArea,ScreenPorch,MiscVal,TotalSF,Total_sqr_footage,Total_Bathrooms,Total_porch_sf,haspool,has2ndfloor,hasgarage,hasbsmt,hasfireplace,SalePrice_log,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtFinSF2,HeatingQC,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Functional,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,Fence,MoSold,YrSold,YrBltAndRemod,NewFirePlaces,NewExterQualCond,NewCentrAirElec,NewKitchen,NewSale,SalePrice
211,0.0,468,396,864,864,0,864,0,0,0,1728,1332,2.0,96,0,0,0,1,0,11.49272275765271,2,2,2,1,2,1,1,1,1,3,2,1,2,2,3,1,1,2,2,1,1,2,2,1,1,2,1,1,2,2,1,1,1,1,3,1,5,1,3,1,3,3,1,1,1,3,1,1,3,1,14,21,22,12,11,98000
319,256.0,987,360,1347,1372,1274,2646,656,0,0,3993,3633,3.5,544,0,1,1,1,1,12.468436909997664,1,2,3,2,2,1,2,1,2,1,2,1,2,4,2,3,3,2,2,2,2,1,2,1,2,1,1,1,1,2,1,2,2,3,3,1,1,3,1,4,1,1,1,4,4,4,1,1,4,3,23,11,11,13,11,260000
240,0.0,94,641,735,798,689,1487,220,0,0,2222,1581,1.5,140,0,1,1,1,1,11.635143097694478,3,2,1,2,2,1,1,1,1,3,2,1,1,3,1,1,1,2,1,1,1,2,2,3,1,2,1,1,2,1,1,1,2,2,3,1,3,1,2,2,1,1,1,1,4,1,2,1,5,1,22,21,12,12,11,113000
987,0.0,0,485,485,1001,634,1635,255,0,0,2120,1635,1.0,394,0,1,1,1,0,11.669929213779891,3,3,1,1,2,1,1,2,1,3,1,1,1,3,3,1,3,1,1,1,1,2,2,3,1,2,1,1,2,1,1,1,1,1,3,1,1,1,2,2,3,1,1,4,1,1,1,1,1,1,14,21,11,13,11,117000
1417,0.0,0,777,777,1246,1044,2290,560,0,0,3067,2290,2.0,114,0,1,1,1,0,11.715866308966918,2,3,1,3,2,1,1,1,1,3,2,2,2,1,3,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,3,4,1,3,2,2,3,1,1,2,1,1,3,1,1,5,1,14,21,11,22,11,122500
391,0.0,241,229,861,961,406,1367,384,0,0,2228,1999,2.0,242,0,1,1,1,0,11.686878772093667,3,2,1,1,1,1,1,1,1,3,2,1,1,2,3,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1,1,3,3,1,3,2,2,2,1,1,1,1,4,3,2,1,3,1,14,21,11,12,11,119000
1006,220.0,595,390,985,985,0,985,328,0,0,1970,1580,2.0,210,0,0,1,1,0,11.917723684090689,4,2,2,1,2,1,1,1,1,2,2,1,1,2,3,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2,1,2,3,1,1,2,2,2,1,1,1,4,1,1,1,1,3,2,14,11,11,12,11,149900
569,0.0,1441,55,1496,1496,636,2132,612,0,0,3628,3573,2.5,389,0,1,1,1,1,12.66539442642905,3,2,3,3,2,2,2,1,2,2,2,1,1,4,3,2,4,2,2,2,1,2,2,1,2,1,1,1,1,2,1,1,2,1,3,2,2,2,1,3,1,1,1,4,3,1,1,1,4,3,22,11,11,13,11,316600
343,340.0,0,0,105,1040,0,1040,400,0,0,1040,1040,2.0,0,0,0,1,0,0,11.379394072345706,2,2,2,1,2,1,1,1,1,3,2,2,2,1,1,1,1,2,2,1,2,2,3,3,3,2,2,1,3,1,1,2,1,1,3,1,3,1,2,3,1,1,1,1,1,1,1,1,1,1,14,21,22,22,11,87500
115,0.0,774,104,1028,1436,884,2320,180,0,0,3348,3244,3.5,224,0,1,1,1,1,12.46651198158808,3,2,2,1,2,2,1,1,2,2,2,1,2,3,3,1,3,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,3,1,3,1,2,2,1,1,1,4,1,1,2,2,2,2,23,21,11,13,11,259500
500,0.0,111,522,912,912,0,912,297,0,480,1824,1302,1.5,297,0,0,1,1,0,11.69923904303372,1,2,2,1,2,2,1,1,1,3,2,1,2,2,3,2,3,2,2,2,1,2,2,1,1,2,2,2,3,1,2,1,1,1,3,1,1,1,1,2,1,1,1,1,4,1,2,1,2,2,14,21,11,12,11,120480
366,0.0,456,216,672,672,672,1344,468,0,0,2016,1800,1.0,346,0,1,1,1,0,11.898187865760873,3,3,1,2,2,1,1,1,1,3,2,1,2,2,3,1,3,1,1,1,1,2,2,3,1,2,1,1,2,1,1,1,1,2,3,1,3,2,2,2,1,3,1,1,4,4,1,2,4,1,14,21,12,12,11,147000
309,0.0,262,599,861,861,0,861,539,0,0,1722,1123,1.0,158,0,0,1,1,0,11.320553572322773,2,2,2,3,2,2,1,1,1,3,2,1,2,1,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,3,2,2,3,1,1,1,3,1,1,1,1,4,1,14,21,11,12,11,82500
798,0.0,570,203,773,773,0,773,240,0,0,1546,1343,1.0,0,0,0,1,1,0,11.608235644774552,1,2,1,1,2,1,1,1,1,3,2,1,2,2,2,1,1,2,1,1,1,2,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,3,1,14,21,11,12,12,110000
704,0.0,0,360,360,1032,780,1812,672,0,0,2172,1812,2.0,384,0,1,1,1,1,11.84939770159144,2,3,3,1,2,1,1,1,1,3,1,2,2,2,3,1,3,2,2,2,1,2,2,1,1,2,1,1,2,1,1,2,1,3,3,1,3,3,2,3,1,1,2,4,1,2,2,1,5,1,24,21,11,23,11,140000
859,189.0,0,1090,1090,1370,0,1370,479,0,0,2460,1370,2.0,0,0,0,1,1,1,11.931635799828411,1,2,3,2,2,1,1,1,1,2,2,1,2,4,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,1,2,3,1,1,2,1,3,1,1,1,1,1,1,2,1,4,2,23,21,11,12,13,152000
26,640.0,0,1566,1566,1600,0,1600,890,0,0,3166,1600,2.0,56,0,0,1,1,1,12.454103912352162,1,2,4,4,2,1,1,2,1,1,2,1,2,4,2,4,3,2,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,2,3,1,1,4,1,4,1,1,1,1,4,1,1,2,4,4,22,11,11,13,11,256300
89,0.0,0,1013,1013,1013,0,1526,0,0,0,2026,1013,1.0,156,0,0,0,1,0,11.350406535472452,3,3,4,1,2,2,1,2,1,3,1,1,1,1,1,1,2,1,2,2,1,2,2,3,1,2,1,1,2,1,1,1,1,1,3,1,5,1,3,1,3,3,2,1,1,4,2,1,4,1,14,22,21,12,12,85000
1130,180.0,936,0,936,936,0,936,672,0,0,1872,1872,2.0,49,0,0,1,1,0,11.84939770159144,2,3,1,1,1,1,1,1,1,3,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,1,1,1,1,2,1,3,2,2,3,1,1,1,1,1,1,1,1,2,2,14,21,11,12,11,140000
1426,243.0,0,1252,1252,1252,0,1252,528,0,0,2504,1252,1.0,39,0,0,1,1,0,11.8635823365834,1,2,3,2,2,2,1,1,1,3,2,1,2,3,3,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,2,3,1,3,2,2,3,1,1,1,1,3,1,1,1,3,2,14,11,11,13,11,142000
729,95.0,0,1584,1584,1776,0,1776,888,0,0,3360,1776,3.0,25,0,0,1,1,0,11.608235644774552,2,2,3,3,2,1,1,2,1,3,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,1,1,2,2,1,2,1,3,3,1,3,2,2,4,1,1,1,1,2,1,1,2,4,1,14,21,11,22,12,110000
884,0.0,0,795,795,954,795,2230,440,0,0,2544,1749,2.0,188,0,1,1,1,0,11.682668239557325,4,2,1,1,2,1,2,1,1,3,2,1,2,1,2,1,1,2,2,2,1,1,2,3,1,2,1,1,2,2,1,1,1,4,4,1,3,3,2,2,1,2,1,1,4,1,1,1,1,1,14,11,21,12,11,118500
607,0.0,732,308,1040,1040,0,1040,576,0,0,2080,1772,2.0,168,0,0,1,1,0,11.931635799828411,1,2,3,3,2,2,2,2,2,2,2,1,2,2,2,3,3,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,3,1,3,3,2,3,1,1,1,4,1,1,3,1,4,3,14,21,11,13,11,152000
1184,0.0,821,299,1120,1130,0,1130,720,0,0,2250,1951,2.0,229,0,0,1,1,1,11.695247021764184,2,2,1,2,1,1,1,1,1,3,2,1,2,2,3,1,1,1,2,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,3,1,3,2,2,3,1,1,1,4,1,1,1,1,1,1,22,21,11,12,11,120000
809,700.0,516,380,1024,1086,0,1086,484,0,0,2110,1730,2.0,0,0,0,1,1,1,11.982616545377663,4,2,3,3,2,1,1,1,1,3,2,1,1,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,2,3,1,1,2,1,3,1,1,1,1,1,1,2,1,1,2,22,21,11,12,11,159950
453,42.0,742,130,872,888,868,1756,422,0,0,2628,2498,3.5,266,0,1,1,1,0,12.225875272826354,1,2,3,2,2,2,1,2,1,2,2,1,2,3,2,3,3,1,1,1,2,1,1,1,1,2,1,1,1,2,1,2,2,2,3,1,1,3,1,3,1,1,1,3,4,1,1,2,2,3,14,11,11,12,11,204000
