Id,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,GarageArea,ScreenPorch,MiscVal,TotalSF,Total_sqr_footage,Total_Bathrooms,Total_porch_sf,haspool,has2ndfloor,hasgarage,hasbsmt,hasfireplace,SalePrice_log,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtFinSF2,HeatingQC,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Functional,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,Fence,MoSold,YrSold,YrBltAndRemod,NewFirePlaces,NewExterQualCond,NewCentrAirElec,NewKitchen,NewSale,SalePrice,1stFlrSF²,1stFlrSFGarageArea,GarageArea²,PR3_6,PR3_7,PR3_8,PR3_9,PR3_10,PR3_11,PR3_12,PR3_13,PR3_14,PR3_15,PR3_16,PR3_17,PR3_18,PR3_19,PR3_20,PR3_21,PR3_22,PR3_23,PR3_24,PR3_25,PR3_26,PR3_27,PR3_28,PR3_29,PR3_30,PR3_31,PR3_32,PR3_33,PR3_34,PR3_35,PR3_36,PR3_37,PR3_38,PR3_39,PR3_40,PR3_41,PR3_42,PR3_43,PR3_44,PR3_45,PR3_46,PR3_47,PR3_48,PR3_49,PR3_50,PR3_51,PR3_52,PR3_53,PR3_54,PR3_55
211,0.0,468,396,864,864,0,864,0,0,0,1728,1332,2.0,96,0,0,0,1,0,11.49272275765271,2,2,2,1,2,1,1,1,1,3,2,1,2,2,3,1,1,2,2,1,1,2,2,1,1,2,1,1,2,2,1,1,1,1,3,1,5,1,3,1,3,3,1,1,1,3,1,1,3,1,14,21,22,12,11,98000,746496.0,0.0,0.0,219024.0,185328.0,404352.0,0.0,404352.0,156816.0,342144.0,0.0,342144.0,746496.0,0.0,746496.0,0.0,0.0,746496.0,102503232.0,86733504.0,189236736.0,0.0,189236736.0,73389888.0,160123392.0,0.0,160123392.0,349360128.0,0.0,349360128.0,0.0,0.0,349360128.0,62099136.0,135489024.0,0.0,135489024.0,295612416.0,0.0,295612416.0,0.0,0.0,295612416.0,644972544.0,0.0,644972544.0,0.0,0.0,644972544.0,0.0,0.0,0.0,644972544.0
319,256.0,987,360,1347,1372,1274,2646,656,0,0,3993,3633,3.5,544,0,1,1,1,1,12.468436909997664,1,2,3,2,2,1,2,1,2,1,2,1,2,4,2,3,3,2,2,2,2,1,2,1,2,1,1,1,1,2,1,2,2,3,3,1,1,3,1,4,1,1,1,4,4,4,1,1,4,3,23,11,11,13,11,260000,1882384.0,900032.0,430336.0,974169.0,355320.0,1329489.0,1257438.0,2611602.0,129600.0,484920.0,458640.0,952560.0,1814409.0,1716078.0,3564162.0,1623076.0,3371004.0,7001316.0,961504803.0,350700840.0,1312205643.0,1241091306.0,2577651174.0,127915200.0,478616040.0,452677680.0,940176720.0,1790821683.0,1693768986.0,3517827894.0,1601976012.0,3327180948.0,6910298892.0,46656000.0,174571200.0,165110400.0,342921600.0,653187240.0,617788080.0,1283098320.0,584307360.0,1213561440.0,2520473760.0,2444008923.0,2311557066.0,4800926214.0,2186283372.0,4540742388.0,9430772652.0,2067798824.0,4294659096.0,8919676584.0,18525482136.0
240,0.0,94,641,735,798,689,1487,220,0,0,2222,1581,1.5,140,0,1,1,1,1,11.635143097694478,3,2,1,2,2,1,1,1,1,3,2,1,1,3,1,1,1,2,1,1,1,2,2,3,1,2,1,1,2,1,1,1,2,2,3,1,3,1,2,2,1,1,1,1,4,1,2,1,5,1,22,21,12,12,11,113000,636804.0,175560.0,48400.0,8836.0,60254.0,69090.0,64766.0,139778.0,410881.0,471135.0,441649.0,953167.0,540225.0,506415.0,1092945.0,474721.0,1024543.0,2211169.0,830584.0,5663876.0,6494460.0,6088004.0,13139132.0,38622814.0,44286690.0,41515006.0,89597698.0,50781150.0,47603010.0,102736830.0,44623774.0,96307042.0,207849886.0,263374721.0,301997535.0,283097009.0,610980047.0,346284225.0,324612015.0,700577745.0,304296161.0,656732063.0,1417359329.0,397065375.0,372215025.0,803314575.0,348919935.0,753039105.0,1625209215.0,327082769.0,705910127.0,1523495441.0,3288008303.0
987,0.0,0,485,485,1001,634,1635,255,0,0,2120,1635,1.0,394,0,1,1,1,0,11.669929213779891,3,3,1,1,2,1,1,2,1,3,1,1,1,3,3,1,3,1,1,1,1,2,2,3,1,2,1,1,2,1,1,1,1,1,3,1,1,1,2,2,3,1,1,4,1,1,1,1,1,1,14,21,11,13,11,117000,1002001.0,255255.0,65025.0,0.0,0.0,0.0,0.0,0.0,235225.0,235225.0,307490.0,792975.0,235225.0,307490.0,792975.0,401956.0,1036590.0,2673225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114084125.0,114084125.0,149132650.0,384592875.0,114084125.0,149132650.0,384592875.0,194948660.0,502746150.0,1296514125.0,114084125.0,149132650.0,384592875.0,194948660.0,502746150.0,1296514125.0,254840104.0,657198060.0,1694824650.0,4370722875.0
1417,0.0,0,777,777,1246,1044,2290,560,0,0,3067,2290,2.0,114,0,1,1,1,0,11.715866308966918,2,3,1,3,2,1,1,1,1,3,2,2,2,1,3,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,3,4,1,3,2,2,3,1,1,2,1,1,3,1,1,5,1,14,21,11,22,11,122500,1552516.0,697760.0,313600.0,0.0,0.0,0.0,0.0,0.0,603729.0,603729.0,811188.0,1779330.0,603729.0,811188.0,1779330.0,1089936.0,2390760.0,5244100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469097433.0,469097433.0,630293076.0,1382539410.0,469097433.0,630293076.0,1382539410.0,846880272.0,1857620520.0,4074665700.0,469097433.0,630293076.0,1382539410.0,846880272.0,1857620520.0,4074665700.0,1137893184.0,2495953440.0,5474840400.0,12008989000.0
391,0.0,241,229,861,961,406,1367,384,0,0,2228,1999,2.0,242,0,1,1,1,0,11.686878772093667,3,2,1,1,1,1,1,1,1,3,2,1,1,2,3,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1,1,3,3,1,3,2,2,2,1,1,1,1,4,3,2,1,3,1,14,21,11,12,11,119000,923521.0,369024.0,147456.0,58081.0,55189.0,207501.0,97846.0,329447.0,52441.0,197169.0,92974.0,313043.0,741321.0,349566.0,1176987.0,164836.0,555002.0,1868689.0,13997521.0,13300549.0,50007741.0,23580886.0,79396727.0,12638281.0,47517729.0,22406734.0,75443363.0,178658361.0,84245406.0,283653867.0,39725476.0,133755482.0,450354049.0,12008989.0,45151701.0,21291046.0,71686847.0,169762509.0,80050614.0,269530023.0,37747444.0,127095458.0,427929781.0,638277381.0,300976326.0,1013385807.0,141923796.0,477856722.0,1608941229.0,66923416.0,225330812.0,758687734.0,2554497863.0
1006,220.0,595,390,985,985,0,985,328,0,0,1970,1580,2.0,210,0,0,1,1,0,11.917723684090689,4,2,2,1,2,1,1,1,1,2,2,1,1,2,3,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2,1,2,3,1,1,2,2,2,1,1,1,4,1,1,1,1,3,2,14,11,11,12,11,149900,970225.0,323080.0,107584.0,354025.0,232050.0,586075.0,0.0,586075.0,152100.0,384150.0,0.0,384150.0,970225.0,0.0,970225.0,0.0,0.0,970225.0,210644875.0,138069750.0,348714625.0,0.0,348714625.0,90499500.0,228569250.0,0.0,228569250.0,577283875.0,0.0,577283875.0,0.0,0.0,577283875.0,59319000.0,149818500.0,0.0,149818500.0,378387750.0,0.0,378387750.0,0.0,0.0,378387750.0,955671625.0,0.0,955671625.0,0.0,0.0,955671625.0,0.0,0.0,0.0,955671625.0
569,0.0,1441,55,1496,1496,636,2132,612,0,0,3628,3573,2.5,389,0,1,1,1,1,12.66539442642905,3,2,3,3,2,2,2,1,2,2,2,1,1,4,3,2,4,2,2,2,1,2,2,1,2,1,1,1,1,2,1,1,2,1,3,2,2,2,1,3,1,1,1,4,3,1,1,1,4,3,22,11,11,13,11,316600,2238016.0,915552.0,374544.0,2076481.0,79255.0,2155736.0,916476.0,3072212.0,3025.0,82280.0,34980.0,117260.0,2238016.0,951456.0,3189472.0,404496.0,1355952.0,4545424.0,2992209121.0,114206455.0,3106415576.0,1320641916.0,4427057492.0,4359025.0,118565480.0,50406180.0,168971660.0,3224981056.0,1371048096.0,4596029152.0,582878736.0,1953926832.0,6549955984.0,166375.0,4525400.0,1923900.0,6449300.0,123090880.0,52330080.0,175420960.0,22247280.0,74577360.0,249998320.0,3348071936.0,1423378176.0,4771450112.0,605126016.0,2028504192.0,6799954304.0,257259456.0,862385472.0,2890889664.0,9690843968.0
343,340.0,0,0,105,1040,0,1040,400,0,0,1040,1040,2.0,0,0,0,1,0,0,11.379394072345706,2,2,2,1,2,1,1,1,1,3,2,2,2,1,1,1,1,2,2,1,2,2,3,3,3,2,2,1,3,1,1,2,1,1,3,1,3,1,2,3,1,1,1,1,1,1,1,1,1,1,14,21,22,22,11,87500,1081600.0,416000.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11025.0,0.0,109200.0,0.0,0.0,1081600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1157625.0,0.0,11466000.0,0.0,0.0,113568000.0,0.0,0.0,0.0,1124864000.0
115,0.0,774,104,1028,1436,884,2320,180,0,0,3348,3244,3.5,224,0,1,1,1,1,12.46651198158808,3,2,2,1,2,2,1,1,2,2,2,1,2,3,3,1,3,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,3,1,3,1,2,2,1,1,1,4,1,1,2,2,2,2,23,21,11,13,11,259500,2062096.0,258480.0,32400.0,599076.0,80496.0,795672.0,684216.0,1795680.0,10816.0,106912.0,91936.0,241280.0,1056784.0,908752.0,2384960.0,781456.0,2050880.0,5382400.0,463684824.0,62303904.0,615850128.0,529583184.0,1389856320.0,8371584.0,82749888.0,71158464.0,186750720.0,817950816.0,703374048.0,1845959040.0,604846944.0,1587381120.0,4165977600.0,1124864.0,11118848.0,9561344.0,25093120.0,109905536.0,94510208.0,248035840.0,81271424.0,213291520.0,559769600.0,1086373952.0,934197056.0,2451738880.0,803336768.0,2108304640.0,5533107200.0,690807104.0,1812977920.0,4758041600.0,12487168000.0
